full_name,email,parent_phone,gender,grade,section,photo_path
"مريم فارس الأهجري",student1_أ_1@example.com,725781705,female,1,أ,students/student_1_أ_1.jpg
"يحيى رامي اليافعي",student1_أ_2@example.com,723641035,male,1,أ,students/student_1_أ_2.jpg
"يسرى حسين البيضاني",student1_أ_3@example.com,760927599,female,1,أ,students/student_1_أ_3.jpg
"علي باسم الجبري",student1_أ_4@example.com,727307793,male,1,أ,students/student_1_أ_4.jpg
"حسن حسن الخميسي",student1_أ_5@example.com,749938783,male,1,أ,students/student_1_أ_5.jpg
"سلوى فؤاد الذيفاني",student1_أ_6@example.com,737505175,female,1,أ,students/student_1_أ_6.jpg
"أروى حسن الصايدي",student1_أ_7@example.com,781735849,female,1,أ,students/student_1_أ_7.jpg
"عمار أحمد الهمداني",student1_أ_8@example.com,785735435,male,1,أ,students/student_1_أ_8.jpg
"عبير صالح القرشي",student1_أ_9@example.com,734149224,female,1,أ,students/student_1_أ_9.jpg
"وليد إبراهيم الزبيري",student1_أ_10@example.com,781714129,male,1,أ,students/student_1_أ_10.jpg
"خلود سامي القاسمي",student1_أ_11@example.com,790057323,female,1,أ,students/student_1_أ_11.jpg
"حسن محمد الوزير",student1_أ_12@example.com,722372005,male,1,أ,students/student_1_أ_12.jpg
"فوزية إبراهيم الجبري",student1_أ_13@example.com,766804019,female,1,أ,students/student_1_أ_13.jpg
"منى محمد الخميسي",student1_أ_14@example.com,733434028,female,1,أ,students/student_1_أ_14.jpg
"إيمان مازن الإرياني",student1_أ_15@example.com,734005192,female,1,أ,students/student_1_أ_15.jpg
"محمد فؤاد الحاشدي",student1_أ_16@example.com,778545904,male,1,أ,students/student_1_أ_16.jpg
"حسن قاسم الشريف",student1_أ_17@example.com,758689270,male,1,أ,students/student_1_أ_17.jpg
"سلوى حسين الجبري",student1_أ_18@example.com,755882547,female,1,أ,students/student_1_أ_18.jpg
"زينب حسين الحرازي",student1_أ_19@example.com,785250264,female,1,أ,students/student_1_أ_19.jpg
"بلقيس حسين السفياني",student1_أ_20@example.com,742261333,female,1,أ,students/student_1_أ_20.jpg
"إبراهيم سليمان الأهجري",student1_أ_21@example.com,765507216,male,1,أ,students/student_1_أ_21.jpg
"سارة سليمان المؤيد",student1_أ_22@example.com,719036520,female,1,أ,students/student_1_أ_22.jpg
"فاطمة هاني الشريف",student1_أ_23@example.com,711092594,female,1,أ,students/student_1_أ_23.jpg
"عمار فؤاد الصايدي",student1_أ_24@example.com,764913968,male,1,أ,students/student_1_أ_24.jpg
"فوزية محمد البكاري",student1_أ_25@example.com,750366040,female,1,أ,students/student_1_أ_25.jpg
"عائشة حسن اليدومي",student1_أ_26@example.com,745088421,female,1,أ,students/student_1_أ_26.jpg
"باسم رامي الإرياني",student1_أ_27@example.com,760076503,male,1,أ,students/student_1_أ_27.jpg
"ريم حسن الزبيري",student1_أ_28@example.com,760605653,female,1,أ,students/student_1_أ_28.jpg
"حسن مازن الكندي",student1_أ_29@example.com,762263231,male,1,أ,students/student_1_أ_29.jpg
"خلود رامي المتوكل",student1_أ_30@example.com,759355532,female,1,أ,students/student_1_أ_30.jpg
"علي حسن الأهجري",student1_أ_31@example.com,785134239,male,1,أ,students/student_1_أ_31.jpg
"سليمان عبدالله الجبري",student1_أ_32@example.com,736279876,male,1,أ,students/student_1_أ_32.jpg
"حنان سامي الصايدي",student1_أ_33@example.com,728086869,female,1,أ,students/student_1_أ_33.jpg
"علي إبراهيم اليافعي",student1_أ_34@example.com,718391575,male,1,أ,students/student_1_أ_34.jpg
"محمد إبراهيم الصايدي",student1_أ_35@example.com,798133163,male,1,أ,students/student_1_أ_35.jpg
"قاسم صالح الوزير",student1_أ_36@example.com,775361755,male,1,أ,students/student_1_أ_36.jpg
"فارس هاني المتوكل",student1_أ_37@example.com,757862114,male,1,أ,students/student_1_أ_37.jpg
"نورا سامي الخميسي",student1_أ_38@example.com,756396836,female,1,أ,students/student_1_أ_38.jpg
"فارس فؤاد الشريف",student1_أ_39@example.com,775346126,male,1,أ,students/student_1_أ_39.jpg
"نورا هاني البكاري",student1_أ_40@example.com,734999587,female,1,أ,students/student_1_أ_40.jpg
"عبير فؤاد القاسمي",student1_أ_41@example.com,771162642,female,1,أ,students/student_1_أ_41.jpg
"حسين أحمد المطري",student1_أ_42@example.com,725578789,male,1,أ,students/student_1_أ_42.jpg
"علي حسن الكندي",student1_أ_43@example.com,760450437,male,1,أ,students/student_1_أ_43.jpg
"خلود حسن الجبري",student1_أ_44@example.com,718757340,female,1,أ,students/student_1_أ_44.jpg
"ريم سامي الحرازي",student1_أ_45@example.com,729647547,female,1,أ,students/student_1_أ_45.jpg
"بلقيس أحمد المؤيد",student1_أ_46@example.com,737279648,female,1,أ,students/student_1_أ_46.jpg
"عمار حسن الشريف",student1_أ_47@example.com,733491724,male,1,أ,students/student_1_أ_47.jpg
"ريم سليمان البيضاني",student1_أ_48@example.com,721817868,female,1,أ,students/student_1_أ_48.jpg
"إبراهيم فارس البيضاني",student1_أ_49@example.com,753236108,male,1,أ,students/student_1_أ_49.jpg
"فاطمة إبراهيم المتوكل",student1_أ_50@example.com,751325988,female,1,أ,students/student_1_أ_50.jpg
"فاطمة قاسم الشريف",student1_ب_1@example.com,791786559,female,1,ب,students/student_1_ب_1.jpg
"رامي باسم القاسمي",student1_ب_2@example.com,770713817,male,1,ب,students/student_1_ب_2.jpg
"بلقيس هاني البيضاني",student1_ب_3@example.com,775193793,female,1,ب,students/student_1_ب_3.jpg
"هدى يحيى الإرياني",student1_ب_4@example.com,735624889,female,1,ب,students/student_1_ب_4.jpg
"رامي حسن البكاري",student1_ب_5@example.com,764374021,male,1,ب,students/student_1_ب_5.jpg
"وليد قاسم الحاشدي",student1_ب_6@example.com,760813027,male,1,ب,students/student_1_ب_6.jpg
"وليد باسم الزبيري",student1_ب_7@example.com,736184731,male,1,ب,students/student_1_ب_7.jpg
"يحيى أحمد القاسمي",student1_ب_8@example.com,731482823,male,1,ب,students/student_1_ب_8.jpg
"عائشة علي الصايدي",student1_ب_9@example.com,744748058,female,1,ب,students/student_1_ب_9.jpg
"منى مازن الزبيري",student1_ب_10@example.com,715478886,female,1,ب,students/student_1_ب_10.jpg
"سامي يحيى الإرياني",student1_ب_11@example.com,767630467,male,1,ب,students/student_1_ب_11.jpg
"فارس يحيى الكندي",student1_ب_12@example.com,738841536,male,1,ب,students/student_1_ب_12.jpg
"رامي علي الذيفاني",student1_ب_13@example.com,733376314,male,1,ب,students/student_1_ب_13.jpg
"يحيى صالح الأهجري",student1_ب_14@example.com,765599491,male,1,ب,students/student_1_ب_14.jpg
"إبراهيم عمار الخميسي",student1_ب_15@example.com,749997919,male,1,ب,students/student_1_ب_15.jpg
"قاسم علي القاسمي",student1_ب_16@example.com,783803153,male,1,ب,students/student_1_ب_16.jpg
"هدى وليد الزبيري",student1_ب_17@example.com,769622585,female,1,ب,students/student_1_ب_17.jpg
"سليمان صالح الإرياني",student1_ب_18@example.com,756096794,male,1,ب,students/student_1_ب_18.jpg
"إبراهيم عمار الحرازي",student1_ب_19@example.com,712011202,male,1,ب,students/student_1_ب_19.jpg
"حسن علي الخميسي",student1_ب_20@example.com,751762187,male,1,ب,students/student_1_ب_20.jpg
"سامي أحمد البيضاني",student1_ب_21@example.com,741245703,male,1,ب,students/student_1_ب_21.jpg
"هدى أحمد اليافعي",student1_ب_22@example.com,737788034,female,1,ب,students/student_1_ب_22.jpg
"باسم وليد الصايدي",student1_ب_23@example.com,725357054,male,1,ب,students/student_1_ب_23.jpg
"يسرى سامي الحرازي",student1_ب_24@example.com,750522136,female,1,ب,students/student_1_ب_24.jpg
"إيمان حسن الصايدي",student1_ب_25@example.com,711643892,female,1,ب,students/student_1_ب_25.jpg
"عائشة مازن الذيفاني",student1_ب_26@example.com,757991567,female,1,ب,students/student_1_ب_26.jpg
"ليلى محمد القاسمي",student1_ب_27@example.com,779848115,female,1,ب,students/student_1_ب_27.jpg
"سليمان هاني اليافعي",student1_ب_28@example.com,761559230,male,1,ب,students/student_1_ب_28.jpg
"بلقيس سامي الصايدي",student1_ب_29@example.com,773241195,female,1,ب,students/student_1_ب_29.jpg
"يحيى حسن اليدومي",student1_ب_30@example.com,771328838,male,1,ب,students/student_1_ب_30.jpg
"سامي هاني الحاشدي",student1_ب_31@example.com,785600614,male,1,ب,students/student_1_ب_31.jpg
"فؤاد حسين الهمداني",student1_ب_32@example.com,777187778,male,1,ب,students/student_1_ب_32.jpg
"منى حسن المؤيد",student1_ب_33@example.com,780804876,female,1,ب,students/student_1_ب_33.jpg
"ريم محمد اليدومي",student1_ب_34@example.com,769443841,female,1,ب,students/student_1_ب_34.jpg
"منى رامي الجبري",student1_ب_35@example.com,755926209,female,1,ب,students/student_1_ب_35.jpg
"أحمد قاسم المذحجي",student1_ب_36@example.com,765472823,male,1,ب,students/student_1_ب_36.jpg
"عبدالله يحيى الذيفاني",student1_ب_37@example.com,736455098,male,1,ب,students/student_1_ب_37.jpg
"صالح سليمان الخميسي",student1_ب_38@example.com,715102689,male,1,ب,students/student_1_ب_38.jpg
"هاني سامي الصايدي",student1_ب_39@example.com,727773240,male,1,ب,students/student_1_ب_39.jpg
